,temp,dew,humidity,windspeed,sealevelpressure,moonphase,Year,Month,Date_split,winddir
272,32.4,17.4,42.0,29.5,1006.6,0.03,2007,04,19,
273,29.2,24.1,74.6,14.8,,0.03,2007,04,19,
274,29.7,21.1,62.67,11.2,,0.03,2007,04,19,
275,28.8,11.8,36.48,25.9,1007.1,0.03,2007,04,19,
276,33.5,13.4,31.76,33.5,,0.03,2007,04,19,
277,30.7,19.2,52.51,7.6,,0.03,2007,04,19,
278,30.4,24.2,70.9,7.6,1009.1,0.03,2007,04,19,
279,30.7,19.2,52.51,7.6,,0.03,2007,04,19,
280,29.2,16.5,46.85,24.1,,0.03,2007,04,19,
281,32.3,18.9,47.53,14.8,1007.6,0.03,2007,04,19,
282,32.9,21.0,50.73,9.4,1007.3,0.03,2007,04,19,
283,29.3,15.8,48.92,9.4,1008.7,0.03,2007,04,19,
284,29.3,25.1,79.2,5.4,1008.5,0.03,2007,04,19,
285,33.7,17.9,40.51,25.9,,0.07,2007,04,20,
286,25.9,18.5,65.73,11.2,,0.07,2007,04,20,
287,30.9,15.3,40.36,29.5,1007.3,0.07,2007,04,20,
288,29.5,22.7,68.05,14.8,,0.07,2007,04,20,
289,31.1,19.3,51.21,18.4,,0.07,2007,04,20,
290,28.9,12.6,39.16,20.5,1008.1,0.07,2007,04,20,
291,31.1,11.7,34.54,22.3,,0.07,2007,04,20,
292,33.1,17.9,43.44,18.4,,0.07,2007,04,20,
293,31.0,23.7,67.18,11.2,1008.3,0.07,2007,04,20,
294,33.1,17.9,43.44,18.4,,0.07,2007,04,20,
295,29.5,17.1,47.96,16.6,,0.07,2007,04,20,
296,33.7,16.4,37.9,13.0,1005.8,0.07,2007,04,20,
297,30.3,21.4,59.71,11.2,1006.1,0.07,2007,04,20,
298,28.4,16.4,50.91,7.6,1009.8,0.07,2007,04,20,
299,29.7,22.3,66.09,18.4,1009.1,0.07,2007,04,20,
300,34.1,14.9,34.28,22.3,,0.11,2007,04,21,
301,26.0,18.8,67.34,18.4,,0.11,2007,04,21,
302,31.5,11.7,30.52,29.5,1006.1,0.11,2007,04,21,
303,29.8,23.6,70.04,18.4,,0.11,2007,04,21,
304,32.9,15.8,38.99,18.4,,0.11,2007,04,21,
305,29.6,10.9,33.97,31.3,1007.3,0.11,2007,04,21,
306,32.0,10.6,28.98,16.6,,0.11,2007,04,21,
307,31.1,17.4,48.17,22.3,,0.11,2007,04,21,
308,31.1,25.0,71.51,9.4,1006.1,0.11,2007,04,21,
309,31.1,17.4,48.17,22.3,,0.11,2007,04,21,
310,29.1,16.5,47.08,14.8,,0.11,2007,04,21,
311,33.1,14.7,35.17,27.7,1003.9,0.11,2007,04,21,
312,31.8,19.6,51.62,9.4,1003.6,0.11,2007,04,21,
313,29.8,16.3,46.98,7.6,1009.4,0.11,2007,04,21,
314,29.1,23.9,74.26,7.6,1009.1,0.11,2007,04,21,
315,33.4,16.8,40.91,20.5,,0.16,2007,04,22,
316,25.0,17.5,66.26,18.4,,0.16,2007,04,22,
317,31.5,11.2,29.81,27.7,1005.6,0.16,2007,04,22,
318,29.8,22.0,64.03,22.3,,0.16,2007,04,22,
319,33.4,17.6,41.86,14.8,,0.16,2007,04,22,
320,30.4,7.6,25.51,33.5,1006.4,0.16,2007,04,22,
321,33.3,9.7,26.76,37.1,,0.16,2007,04,22,
322,33.1,15.0,37.12,22.3,,0.16,2007,04,22,
323,31.7,25.7,72.32,11.2,1005.3,0.16,2007,04,22,
324,33.1,15.0,37.12,22.3,,0.16,2007,04,22,
325,28.8,15.7,45.55,20.5,,0.16,2007,04,22,
326,34.3,13.6,31.79,22.3,1002.7,0.16,2007,04,22,
327,31.2,18.0,49.01,18.4,1003.4,0.16,2007,04,22,
328,28.2,11.7,43.54,11.2,1009.7,0.16,2007,04,22,
329,28.9,24.3,76.85,9.4,1009.5,0.16,2007,04,22,
330,33.5,17.6,43.17,24.1,,0.21,2007,04,23,
331,26.9,17.2,59.12,14.8,,0.21,2007,04,23,
332,31.3,11.4,30.79,37.1,1005.4,0.21,2007,04,23,
333,30.9,23.9,67.07,18.4,,0.21,2007,04,23,
334,33.9,10.7,27.96,14.8,,0.21,2007,04,23,
335,29.1,7.1,28.36,27.7,1006.6,0.21,2007,04,23,
336,34.4,7.8,20.93,37.1,,0.21,2007,04,23,
337,33.0,13.7,33.69,22.3,,0.21,2007,04,23,
338,32.5,25.5,69.03,9.4,1003.7,0.21,2007,04,23,
339,33.0,13.7,33.69,22.3,,0.21,2007,04,23,
340,29.3,15.1,43.37,18.4,,0.21,2007,04,23,
341,35.1,13.2,28.22,25.9,1001.8,0.21,2007,04,23,
342,32.6,17.1,44.69,14.8,1001.6,0.21,2007,04,23,
343,27.9,7.3,33.37,11.2,1009.1,0.21,2007,04,23,
344,28.5,24.0,77.37,5.4,1009.0,0.21,2007,04,23,
345,34.1,19.3,46.59,22.3,,0.26,2007,04,24,
346,26.7,18.0,60.51,18.4,,0.26,2007,04,24,
347,32.0,10.5,27.9,33.5,1005.0,0.26,2007,04,24,
348,31.1,22.3,61.52,22.3,,0.26,2007,04,24,
349,34.7,9.7,23.63,14.8,,0.26,2007,04,24,
350,30.0,6.9,25.06,25.9,1006.0,0.26,2007,04,24,
351,34.6,12.1,26.14,25.9,,0.26,2007,04,24,
352,34.2,11.3,26.5,36.0,,0.26,2007,04,24,
353,31.6,26.5,75.89,11.2,1003.6,0.26,2007,04,24,
354,34.2,11.3,26.5,36.0,,0.26,2007,04,24,
355,29.3,15.1,43.39,25.9,,0.26,2007,04,24,
356,34.9,13.0,28.8,27.7,1002.2,0.26,2007,04,24,
357,30.7,23.1,65.45,24.1,1002.4,0.26,2007,04,24,
358,28.5,7.8,31.31,7.6,1008.0,0.26,2007,04,24,
359,29.2,24.5,72.53,3.6,1008.2,0.26,2007,04,24,
360,35.0,18.3,40.79,16.6,,0.31,2007,04,25,
361,30.0,16.4,45.32,14.8,,0.31,2007,04,25,
362,32.1,13.0,33.92,22.3,1004.5,0.31,2007,04,25,
363,30.7,24.2,69.15,22.3,,0.31,2007,04,25,
364,35.9,9.3,21.58,14.8,,0.31,2007,04,25,
365,32.1,9.3,26.77,20.5,1005.0,0.31,2007,04,25,
366,32.7,13.1,32.2,29.5,,0.31,2007,04,25,
367,34.4,11.9,28.02,28.1,,0.31,2007,04,25,
368,31.3,25.9,74.29,11.2,1005.6,0.31,2007,04,25,
369,34.4,11.9,28.02,28.1,,0.31,2007,04,25,
370,29.1,15.5,44.21,18.4,,0.31,2007,04,25,
371,34.8,10.8,25.93,40.7,1002.1,0.31,2007,04,25,
372,29.0,21.9,66.77,18.4,1004.3,0.31,2007,04,25,
373,29.5,10.1,36.17,5.4,1007.1,0.31,2007,04,25,
374,30.6,24.4,71.13,3.6,1007.1,0.31,2007,04,25,
375,34.7,16.0,36.01,22.3,,0.36,2007,04,26,
376,28.1,17.5,54.69,11.2,,0.36,2007,04,26,
377,32.2,11.8,31.29,24.1,1005.4,0.36,2007,04,26,
378,30.4,24.5,72.33,18.4,,0.36,2007,04,26,
379,35.2,16.4,35.83,14.8,,0.36,2007,04,26,
380,32.9,4.6,19.55,35.3,1006.1,0.36,2007,04,26,
381,35.4,10.6,23.08,38.9,,0.36,2007,04,26,
382,33.1,18.5,44.44,20.5,,0.36,2007,04,26,
383,30.2,24.3,72.09,9.4,1007.0,0.36,2007,04,26,
384,33.1,18.5,44.44,20.5,,0.36,2007,04,26,
385,30.3,15.2,40.98,20.5,,0.36,2007,04,26,
386,34.4,12.3,29.17,20.5,1004.3,0.36,2007,04,26,
387,29.2,22.0,66.05,16.6,1005.7,0.36,2007,04,26,
388,30.8,11.3,34.85,7.6,1006.8,0.36,2007,04,26,
389,31.3,20.1,58.59,7.6,1007.6,0.36,2007,04,26,
390,35.7,16.6,35.25,20.5,,0.4,2007,04,27,
391,28.0,17.7,55.86,14.8,,0.4,2007,04,27,
392,32.2,11.6,30.61,18.4,1006.8,0.4,2007,04,27,
393,30.5,24.3,70.95,22.3,,0.4,2007,04,27,
394,36.2,15.7,33.2,11.2,,0.4,2007,04,27,
395,30.4,1.8,17.35,18.4,1007.8,0.4,2007,04,27,
396,34.9,14.1,30.08,44.3,,0.4,2007,04,27,
397,31.6,17.2,43.44,22.3,,0.4,2007,04,27,
398,29.5,23.9,72.62,11.2,1008.2,0.4,2007,04,27,
399,31.6,17.2,43.44,22.3,,0.4,2007,04,27,
